1,0.16772,0.14709,1,0.11874,0.1957,0.22044,1,0.14877,1,0.060327,1,1,0.36438,0.29208,1,0.031252,1,0.28582,1,1,1,1,1,0.65433,1,1,1,1.0245,1,0.04866,0.67043,1,0.48037,1,1,1,1,0.13148,1,1,0.3857,1,0.19845,0.18153,0.28033,1,0.095968,0.067829,1,0.11137,0.2251,1,0.082411,1,0.32358,1,1.2672,1,0.10764,0.51552,0.037478,1,0.075448,0.098713,0.021422,0.14467,0.034078,0.060456,1,1,0.13903,1,1,0.12636,0.058081,0.30729,1,1,1,0.10929,1,1,1,0.10109,1,1,0.70102,1,1,1,0.2073,0.16453,1,0.14438,0.42078,
1,0.1486,0.13377,1,0.084868,1,1,1,0.053575,0.036864,0.15814,1,1,1,0.22917,0.31912,1,1,0.13194,1,1,1,1,1,1,1,0.53133,1,0.19473,0.092528,0.081182,0.061726,0.54599,1,1.0903,1,0.84045,0.36032,1,0.8939,0.35344,1,1,0.17306,1,1,1,1,0.15947,1,1,0.1509,1,1,0.29262,1,0.33816,0.033546,1,1,1,1,1.1469,1,0.26697,0.22257,1,1,1,0.11612,0.75701,0.094043,1,0.028549,1,1,0.1436,1,2.8795,0.34635,0.053222,1,1,1,1,1,0.75882,1,1,1,0.036436,0.12198,1,0.34848,1,0.18501,
1,1,1,1,1,1,1,1,1,0.079339,1,1,1,1,1,0.18313,0.4168,1,1,0.56528,1,1,1.1638,1.2701,1,1,1,1,1,1,1,0.31142,1,1,1,1,0.19869,1,1,0.2553,1,1,1,0.26865,1,1,1.0908,0.4014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.24191,0.14745,1,1,1,1,0.11452,1,1,1,0.031047,1,1,0.10236,1,1,1,1,1,1,1,1,1,1,0.26783,1,0.48431,0.1697,1,1,1,0.35741,1,
1,0.3406,1,1,0.31781,0.65204,1,0.72118,1,0.3263,0.51281,0.039649,1,0.60231,0.28458,0.33226,0.21442,1,0.03158,0.1382,0.87146,0.14504,0.11668,0.085073,0.4842,0.77528,0.36506,1,1,1,1,1,0.029819,0.50274,1,1,0.17072,1,0.018391,1,0.073346,0.49278,1,0.096378,0.60866,0.69775,0.2032,0.21127,1,0.81749,0.50081,0.37295,1,0.60837,0.49602,0.026829,1,0.54267,0.089251,0.62033,0.047144,0.033833,1,0.26095,1,1,0.6051,1,1,1,1,0.58527,0.91582,0.1026,0.63655,0.55811,1,1,1,0.36864,0.040767,0.65404,1,1,0.6649,1.5239,0.41068,1,1,0.35037,1,0.52038,0.6026,1,0.26435,0.39997,
0.033095,0.1645,0.12941,0.075865,0.033423,0.087613,0.070655,0.28524,0.65268,0.064947,0.071311,0.028876,0.11944,1,1,0.048209,0.041697,1,0.049766,0.020689,0.12976,0.20558,1,1,0.047472,0.09007,0.12034,1,0.72244,1,1,0.4055,0.20681,1,1,1,0.16477,1,0.21729,0.32298,1,0.044277,1,0.21172,0.08069,0.14602,1,1,0.7326,0.081632,0.31002,0.0845,1.0487,0.043417,0.077086,1,0.61157,0.054927,0.062791,0.10387,0.18256,0.14942,1,0.037642,0.38747,0.11472,0.038994,0.016875,1,0.43446,1,0.16814,0.031662,0.11647,1,0.025885,0.064266,0.87592,0.63487,0.21201,0.017431,0.22184,1,0.87592,0.17584,0.10133,0.034447,0.49532,1,0.080148,0.044294,0.068116,1,0.69132,0.014664,1,
1,0.034382,0.20435,1,0.055091,1,0.026665,0.09897,1,1,0.051473,0.12759,0.10355,0.42004,1,0.17686,0.14655,1.3438,1,0.08601,0.083271,0.099614,1,0.3328,0.14704,0.17137,0.047899,2.9605,0.14025,0.79359,0.83463,1,0.05636,0.09646,1,1.8767,0.38285,1,0.074014,0.058531,0.37335,0.19407,1.3269,1,1,1,0.48857,0.45408,0.14111,0.040419,1,0.019106,1,1,1,0.41377,1,0.11178,0.078888,0.3382,0.045875,0.1413,0.10592,0.12263,0.23462,0.075448,0.065288,1,1,0.19104,1,0.18067,0.027393,1,0.49041,1,0.026869,1,1,0.24834,0.040876,1,1.2548,1,0.15495,1,0.29597,1,1,1,1,1,1,1,0.029696,1,
1,0.30875,0.17916,1,0.072457,1,1,0.097525,1,1,1,1,1,1,0.63999,1,1,1,1,0.23044,1,1,1,1,1,1,1,1,0.26284,0.12837,1,1,1,1,1,1,1,0.94797,1,1,1,0.11854,0.24412,1,1,1,1,1,1,1,1,0.075038,1,0.51843,1,0.05763,1,1,1,1,0.31457,0.19222,1,1,1,1,0.2582,1,1,0.12718,1,0.081632,1,1,1,0.43044,1,1,1,1,0.13896,1,1,1,0.10027,0.044441,1,1,1,1,1,0.41218,0.49844,1,1,0.4881,
0.43917,1,1,0.48893,1,1,1,0.2213,0.64319,1,0.49659,1,1,0.29446,0.083558,1,1,1,0.62132,0.22216,0.071638,1,0.81227,0.47079,1,1,1,1,0.071638,1,1,1,1,1,1,0.39305,1,0.27943,0.29483,1,1,1,1,1,1,1,0.09732,1,0.29421,1,1,0.11735,1,1,0.59268,0.22425,0.6563,1,1,1,1,0.23499,0.047144,0.44851,0.47251,1,0.10006,0.57751,1,0.1624,1,0.28491,0.37302,1,0.095641,0.088199,1,0.036249,1,1,0.029122,0.036208,1,0.036249,1,1,1,1,2.2676,1,0.06127,0.14754,1,1,1,0.239,
1,0.37154,1,1,1,0.58981,1,1,1,1,0.039198,1,1,1,1,1,0.65564,1,0.19575,1,1,0.50208,1,1,1,1,1,1,0.23511,1,0.62922,1,1,1,1.3311,1,1,1,1,0.64892,0.43286,0.36466,0.23548,1,0.6898,1,1,1,1,1,1,0.19386,0.69463,1,0.11731,1,1,1,1,1,1,1,0.2759,0.18415,1,0.45565,0.037109,0.063856,1,1,1,0.10322,1,1,0.19607,0.064429,1,0.043212,1,0.51523,0.052708,0.11288,1,0.11284,1,0.34058,0.53552,1,1,1,0.042106,1,1,1,1,1,
1,0.23609,1,1,1,1,0.78724,1,0.27394,1.0473,1,1,0.73654,1,0.41201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.047472,1,0.14861,1,1,0.046951,0.40783,1,0.23269,0.17764,1,1,1,1,1,1,1,1,1,1,1,1,0.052797,1,1,1,1,0.34824,1,1,0.67538,1,1,1,1,1,0.23847,0.21651,0.31404,1,0.034406,1,0.2637,0.44007,0.89214,0.067665,0.13095,1,0.28979,1,1,1,0.28979,1,0.28979,1,1,1,0.0999,1,1,1,0.34608,1,1,1,1,
1,0.22597,1,1,1,1,1,1,1,0.089579,0.51785,1,0.22581,1,1,0.89747,1,1,1,0.47898,0.67489,1,1,1,1,0.16941,0.96148,1,1,1,0.432,0.19984,1,0.96222,1,1,1,1,0.18915,0.35762,1,1,1,1,1,1.0955,1,0.1561,1,1,1,0.2816,0.50323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.095804,1.8924,0.25723,1,1,1,1,0.18424,1,1,1,1.0288,1,0.37478,1,1,1,1,1,0.32612,1,1,1,0.080936,0.27218,1,1,1,0.65146,
